,verb,translation,english_pos
156,vergezellen,to accompany,[]
157,goedmaken,make up,[]
158,ontgroenen,hazing,"['v', 'v']"
159,erbuiten,outside it,[]
160,ophogen,increase,"['n', 'n', 'n', 'n', 'n', 'v', 'v']"
161,laxeren,laxative,"['n', 'a']"
162,heenkomen,get away,[]
163,opbranden,burn out,[]
164,dempen,mute,"['n', 'n', 'v', 's', 's']"
165,kerven,to carve,[]
166,camoufleren,camouflage,"['n', 'n', 'n', 'n', 'v']"
167,afvaren,set sail,[]
168,beetpakken,grabbing,"['v', 'v', 'v', 'v', 'v', 'v']"
169,overspelen,replay,"['n', 'n', 'v', 'v', 'v', 'v']"
170,kantooruren,office hours,[]
171,openrijten,rip open,[]
172,bijschaven,refining,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
173,schoonhouden,keep clean,[]
174,afspelen,play,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
175,scannen,scan,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
176,godvergeten,godforsaken,['s']
177,benoemen,appoint,"['v', 'v', 'v']"
178,afhandelen,handle,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
179,afzweren,renounce,"['v', 'v', 'v', 'v']"
180,baden,to bathe,[]
181,klaarspelen,get ready,[]
182,meevragen,ask along,[]
183,inspringen,indent,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
184,herroepen,revoked,"['v', 'v']"
185,desinfecteren,disinfect,['v']
186,vredesteken,peace sign,[]
187,omzien,look back,[]
188,platleggen,lay flat,[]
189,ronddraaien,spinning around,[]
190,beven,tremble,"['n', 'v']"
191,halen,fetch,"['n', 'v', 'v', 'v']"
192,terugkijken,Looking back,[]
193,aflossen,repay,"['v', 'v', 'v', 'v']"
194,zuidoosten,southeast,"['n', 'n', 'n', 'n', 's', 's', 'r']"
195,misbegrepen,misunderstood,"['v', 's']"
196,voorspellen,to predict,[]
197,belichten,illuminate,"['v', 'v', 'v']"
198,platlopen,run flat,[]
199,speuren,search,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
200,ontgrendelen,unlock,"['v', 'v', 'v']"
201,opbellen,call up,[]
202,trien,trien,[]
203,sudderen,simmer,"['n', 'v']"
204,pitten,pips,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
205,doceren,teaching,"['n', 'n', 'n', 'v', 'v']"
206,rondtoeren,touring around,[]
207,doorbuigen,bend,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
208,vergen,require,"['v', 'v', 'v', 'v']"
209,aandrukken,press down,[]
210,benauwen,oppress,"['v', 'v']"
211,uithuwelijken,arranged marriages,[]
212,wegbranden,burn away,[]
213,intrekken,move in,[]
214,verwennen,pamper,['v']
215,teweegbrengen,bring about,[]
216,kickboksen,kickboxing,[]
217,huppelen,hopping,"['v', 'v', 'v', 'v', 'v', 'v']"
218,opvrolijken,brighten,"['v', 'v']"
219,jeuken,itching,"['n', 'v', 'v', 'v', 'v']"
220,gelijken,equals,"['n', 'v', 'v', 'v']"
221,verlammen,paralyze,"['v', 'v']"
222,toesturen,send,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
223,schijnen,shine,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
224,overreden,ran over,[]
225,openstellen,opening up,[]
226,intimideren,intimidate,"['v', 'v']"
227,oen,oen,[]
228,bevallen,to give birth,[]
229,overleden,passed away,[]
230,bestrooien,sprinkle,"['n', 'n', 'v', 'v', 'v', 'v']"
231,verheven,exalted,"['v', 'v', 'v', 'v', 's']"
232,ervaren,to experience,[]
233,bijeenkomen,get together,[]
234,binnenglippen,sneak in,[]
235,kruipen,to crawl,[]
236,peuteren,pick,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
237,overhellen,tilt,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
238,zeven,seven,"['n', 'n', 's']"
239,volstromen,flooding,"['n', 'v', 'v', 'v', 'v']"
240,schrijden,stride,"['n', 'n', 'n', 'v', 'v']"
241,dwarsliggen,to hinder,[]
242,beitelen,chiselling,"['v', 'v', 'v']"
243,switchen,switch,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
244,verfrommelen,crumple,"['v', 'v', 'v', 'v']"
245,aankunnen,to manage,[]
246,wegslepen,tow away,[]
247,morrelen,fumble,"['n', 'v', 'v', 'v', 'v', 'v']"
248,gehoorzamen,to obey,[]
249,stuiven,dusting,"['v', 'v', 'v', 'v']"
250,navigeren,navigate,"['v', 'v', 'v']"
251,heroverwegen,reconsider,"['v', 'v']"
252,aanpakken,tackle,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
253,suggereren,suggest,"['v', 'v', 'v', 'v', 'v']"
254,intuinen,in the garden,[]
255,smeren,lubricate,"['v', 'v', 'v']"
256,terugtreden,step down,[]
257,zogen,suckle,"['v', 'v']"
258,losschroeven,unscrew,"['v', 'v']"
259,gallen,galls,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v']"
260,afsturen,send off,[]
261,tegenvallen,disappointing,"['v', 's']"
262,spiesen,skewers,"['n', 'v']"
263,terugkeren,return,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
264,handschoen,glove,"['n', 'n', 'n']"
265,voortborduren,elaborate,"['v', 'v', 'v', 'v', 's', 's']"
266,klimmen,to climb,[]
267,vergroten,to enlarge,[]
268,voortplanten,reproduce,"['v', 'v', 'v', 'v']"
269,toezenden,send,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
270,wegsluiten,lock away,[]
271,uitzwaaien,wave goodbye,[]
272,tergen,provoke,"['v', 'v', 'v', 'v']"
273,afdrijven,drift off,[]
274,herladen,reload,"['v', 'v']"
275,rondleiden,show around,[]
276,beletten,prevent,"['v', 'v']"
277,printen,to print,[]
278,verstuiven,spray,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
279,herformuleren,reformulate,['v']
280,vereren,venerate,['v']
281,sjacheren,haggle,"['n', 'v']"
282,ontsnappen,escape,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
283,casten,cast,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
284,warren,warren,"['n', 'n', 'n', 'n', 'n']"
285,welvaren,prosperity,"['n', 'n']"
286,teren,tar,"['n', 'n', 'v']"
287,verhongeren,starve,"['v', 'v', 'v', 'v', 'v']"
288,degenereren,degenerate,"['n', 'v', 's']"
289,rolschaatsen,roller skating,[]
290,bekladden,daub,"['n', 'n', 'n', 'v', 'v', 'v']"
291,samenlopen,coincide,"['v', 'v', 'v']"
292,domineren,dominate,"['v', 'v', 'v', 'v', 'v']"
293,brabbelen,babble,"['n', 'v', 'v', 'v', 'v']"
294,aanbevelen,recommend,"['v', 'v', 'v']"
295,plengen,shed,"['n', 'v', 'v', 'v', 'v', 'a']"
296,bevuilen,dirty,"['v', 'a', 'a', 's', 'a', 's', 's', 's', 's', 's', 's', 's', 's']"
297,ejaculeren,ejaculate,"['n', 'v', 'v']"
298,opperwezen,supreme being,[]
299,insteken,plug in,[]
300,inwrijven,rub in,[]
301,herlezen,reread,['v']
302,tegenzitten,set against,[]
303,verwisselen,exchange,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
304,ontwerpen,to design,[]
305,verdragen,endure,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
306,profeteren,prophesy,"['v', 'v']"
307,doordraaien,keep turning,[]
308,overheen,across,"['r', 'r']"
309,gelukwensen,congratulations,"['n', 'n', 'n']"
310,schaamlippen,labia,['n']
311,opstarten,Startup,"['n', 'n']"
312,onderhandelen,negotiate,"['v', 'v']"
313,doorstrepen,strikethrough,[]
314,invetten,grease,"['n', 'n', 'v']"
315,weghangen,hang out,[]
316,verbieden,prohibit,['v']
317,verstrooien,scatter,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
318,bekoren,charm,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
319,concluderen,to conclude,[]
320,organiseren,to organize,[]
321,chaufferen,driving,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
322,dragen,to wear,[]
323,besmeuren,smear,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
324,zetten,put,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
325,turnen,gymnastics,['n']
326,plegen,commit,"['v', 'v', 'v', 'v', 'v', 'v']"
327,voorbijvliegen,fly past,[]
328,regenereren,regenerate,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a']"
329,berechten,to judge,[]
330,omkomen,perish,['v']
331,stalken,to stalk,[]
332,observatietoren,observation tower,[]
333,bestelen,to steal,[]
334,verbinden,to connect,[]
335,wegsturen,to dismiss,[]
336,weiden,pastures,"['n', 'n', 'v', 'v']"
337,aanjagen,boost,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
338,uitwringen,wring out,[]
339,doorzeuren,forward,"['n', 'n', 'v', 'a', 'a', 'a', 's', 'r', 'r', 'r', 'r', 'r']"
340,aanzitten,to sit,[]
341,inspecteren,inspect,"['v', 'v', 'v']"
342,galsteen,gallstone,['n']
343,afwachten,wait,"['n', 'n', 'v', 'v', 'v', 'v']"
344,kronen,crowns,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
345,verknoeien,mess up,[]
346,razen,rage,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
347,doorladen,loading,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
348,beduvelen,trick,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v']"
349,stormseizoen,storm season,[]
350,entertainen,entertain,"['v', 'v', 'v']"
351,dalen,descend,"['v', 'v', 'v', 'v']"
352,terugkrabbelen,back out,[]
353,brandstichten,start a fire,[]
354,nadoen,imitate,"['v', 'v', 'v']"
355,terugduwen,push back,[]
356,woelen,tossing and turning,[]
357,schuifelen,shuffling,"['n', 'n', 'v', 'v', 'v']"
358,ingewanden,intestines,['n']
359,toewijden,dedicate,"['v', 'v', 'v', 'v']"
360,ontdooien,thawing,"['n', 'n', 'v']"
361,uitdoven,extinguish,"['v', 'v', 'v', 'v', 'v']"
362,gevangenzetten,imprison,"['v', 'v']"
363,onbewezen,unproven,['a']
364,kwijtspelen,lose,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
365,beteren,mend,"['n', 'n', 'v', 'v']"
366,hervatten,to resume,[]
367,uitdagen,to challenge,[]
368,beheersen,to control,[]
369,vermogen,power,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v']"
370,besodemieteren,bugger,"['n', 'v']"
371,bumperkleven,Tailgating,['v']
372,negeren,ignore,"['v', 'v', 'v', 'v', 'v']"
373,vermommen,disguise,"['n', 'n', 'n', 'v']"
374,meedingen,compete,['v']
375,aanschouwen,behold,['v']
376,binnensmokkelen,smuggle in,[]
377,ongewroken,unsmoked,[]
378,gereedmaken,preparing,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
379,vermorzelen,bruise,"['n', 'v', 'v', 'v', 'v']"
380,aanwakkeren,stir up,[]
381,pitchen,pitching,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
382,benadrukken,emphasize,"['v', 'v']"
383,verlenen,grant,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
384,olijfgroen,olive,"['n', 'n', 'n', 'n', 'n', 's']"
385,gevangennemen,capture,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
386,schorsen,suspend,"['v', 'v', 'v', 'v', 'v', 'v']"
387,opzadelen,saddle up,[]
388,aankondigen,to announce,[]
389,banden,tires,"['n', 'v', 'v', 'v', 'v']"
390,hydrateren,moisturize,['v']
391,opstapelen,pile up,[]
392,mennen,driving,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
393,invriezen,freezing,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
394,doneren,to donate,[]
395,bijdragen,contribute,"['v', 'v', 'v', 'v']"
396,jongen,boy,"['n', 'n', 'n', 'n']"
397,pootjebaden,paddling,"['v', 'v', 'v', 'v', 'v', 'v']"
398,aankleden,to dress up,[]
399,transformeren,transform,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
400,overleggen,Discuss,"['n', 'n', 'v', 'v']"
401,doodschieten,shoot dead,[]
402,stoppen,stop,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
403,wezen,being,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
404,synchroniseren,sync,['v']
405,misdoen,wrong,"['n', 'n', 'v', 'a', 'a', 's', 's', 'a', 's', 's', 's', 's', 'r']"
406,handhaven,maintain,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
407,bevestigen,to confirm,[]
408,experimenteren,to experiment,[]
409,onderhouden,to maintain,[]
410,bijvullen,refill,"['n', 'n', 'v']"
411,aanspoelen,wash up,[]
412,rondkruipen,crawling around,[]
413,drijven,float,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
414,inwerken,act,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
415,repareren,repair,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
416,debriefen,debriefs,['v']
417,bekeuren,fining,"['v', 'v', 'v', 'v']"
418,snakken,long,"['v', 'a', 'a', 's', 'a', 'a', 'a', 's', 's', 's', 'r', 'r']"
419,onttrekken,withdraw,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
420,pogen,attempt,"['n', 'n', 'v', 'v']"
421,pianospelen,to play the piano,[]
422,negen,nine,"['n', 'n', 'n', 's']"
423,impliceren,imply,"['v', 'v', 'v', 'v', 'v']"
424,chanteren,blackmailing,"['v', 'v']"
425,assisteren,assist,"['n', 'n', 'v', 'v', 'v']"
426,liggen,lie,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
427,gluten,gluten,['n']
428,trossen,bunches,"['n', 'n', 'n', 'n', 'v', 'v']"
429,terugspoelen,rewind,[]
430,wonderjongen,wonder boy,[]
431,houwen,hack,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
432,bijhouden,Keep up,[]
433,doorsluizen,piping,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'r']"
434,bloedvergieten,bloodshed,"['n', 'n']"
435,afgesloten,locked,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
436,pingelen,pinging,"['v', 'v', 'v', 'v', 'v']"
437,bekenden,acquaintances,"['n', 'n', 'n']"
438,waarnemingsvermogen,perception,"['n', 'n', 'n', 'n', 'n']"
439,uitwissen,erase,"['v', 'v', 'v']"
440,peppen,pepping,[]
441,begrijpen,to understand,[]
442,indraaien,screw in,[]
443,vullen,to fill,[]
444,stilliggen,to lie still,[]
445,sjoelen,shuffleboard,['n']
446,bijeenroepen,convene,"['v', 'v']"
447,zonnen,Sun tanning,[]
448,ontglippen,slip away,[]
449,zinken,sink,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
450,neigen,to tend,[]
451,binnenbreken,break in,[]
