,word,translation,meaning
19,air,air,"{'Noun': ['a mixture of gases (especially oxygen', 'the region above the ground', 'a distinctive but intangible quality surrounding a person or thing', 'a slight wind (usually refreshing', 'the mass of air surrounding the Earth', 'once thought to be one of four elements composing the universe (Empedocles', 'a succession of notes forming a distinctive sequence', 'medium for radio and television broadcasting', 'travel via aircraft'], 'Verb': ['expose to fresh air', 'be broadcast', 'broadcast over the airwaves, as in radio or television', 'make public', 'expose to warm or heated air, so as to dry', 'expose to cool or cold air so as to cool or freshen']}"
20,ais,ais,"{'Noun': ['an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'the branch of computer science that deal with writing computer programs that can solve problems creatively', 'a sloth that has three long claws on each forefoot and each hindfoot', 'the introduction of semen into the oviduct or uterus by some means other than sexual intercourse']}"
21,aki,aki,
22,aks,aks,{'Noun': ['a state in northwestern North America; the 49th state admitted to the union']}
23,al,already,{'Adverb': ['prior to a specified or implied time']}
24,alg,gen,{'Noun': ['informal term for information']}
25,all,all,"{'Adjective': ['(quantifier', 'completely given to or absorbed by'], 'Adverb': [""to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'""]}"
26,alp,alp,{'Noun': ['any high mountain']}
27,als,as,"{'Noun': ['a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron', 'any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes', 'one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose', '(biochemistry', ""the basic unit of electric current adopted under the Systeme International d'Unites"", 'the 1st letter of the Roman alphabet', 'the blood group whose red cells carry the A antigen', 'a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar', 'a United States territory on the eastern part of the island of Samoa'], 'Adverb': []}"
28,alt,alt,{'Noun': ['angular distance above the horizon (especially of a celestial object']}
29,ama,ama,{'Noun': ['a primeval Egyptian personification of air and breath; worshipped especially at Thebes']}
30,ani,ani,{'Noun': ['black tropical American cuckoo']}
31,ar,ar,"{'Noun': [""a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere"", 'a unit of surface area equal to 100 square meters', 'a state in south central United States; one of the Confederate states during the American Civil War']}"
32,ara,macaw,{'Noun': ['long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots']}
33,are,are,"{'Noun': ['a unit of surface area equal to 100 square meters'], 'Verb': ['have the quality of being; (copula, used with an adjective or a predicate noun', 'be identical to; be someone or something', 'occupy a certain position or area; be somewhere', 'have an existence, be extant', 'happen, occur, take place', 'be identical or equivalent to', 'form or compose', 'work in a specific place, with a specific subject, or in a specific function', 'represent, as of a character on stage', 'spend or use time', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'be priced at']}"
34,ark,ark,"{'Noun': ['(Judaism', 'a boat built by Noah to save his family and animals from the flood']}"
35,arm,arm,"{'Noun': ['a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb', 'any projection that is thought to resemble a human arm', 'any instrument or instrumentality used in fighting or hunting', 'the part of an armchair or sofa that supports the elbow and forearm of a seated person', 'a division of some larger or more complex organization', 'the part of a garment that is attached at the armhole and that provides a cloth covering for the arm'], 'Verb': ['prepare oneself for a military confrontation', 'supply with arms']}"
36,art,art,"{'Noun': ['the products of human creativity; works of art collectively', 'the creation of beautiful or significant things', 'a superior skill that you can learn by study and practice and observation', 'photographs or other visual representations in a printed publication']}"
37,as,ash,"{'Noun': ['the residue that remains when something is burned', 'any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus', 'strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats'], 'Verb': ['convert into ashes']}"
38,aso,aso,
39,ast,ast,
40,at,ate,"{'Noun': ['goddess of criminal rashness and its punishment'], 'Verb': ['take in solid food', 'eat a meal; take a meal', 'take in food; used of animals only', 'worry or cause anxiety in a persistent way', 'use up (resources or materials', 'cause to deteriorate due to the action of water, air, or an acid']}"
41,atv,atv,
42,au,au,"{'Noun': ['a soft yellow malleable ductile (trivalent and univalent', 'a unit of length used for distances within the solar system; equal to the mean distance between the Earth and the Sun (approximately 93 million miles or 150 million kilometers']}"
43,ave,ave,
44,ba,ba,"{'Noun': ['a soft silvery metallic element of the alkali earth group; found in barite', ""a bachelor's degree in arts and sciences"", 'a person who is deemed to be despicable or contemptible', 'a vagrant', 'person who does no work', 'the fleshy part of the human body that you sit on']}"
45,bad,bath,"{'Noun': ['a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it', 'a soaking and washing in a bathtub', 'an ancient Hebrew liquid measure equal to about 10 gallons', 'a town in southwestern England on the River Avon; famous for its hot springs and Roman remains']}"
46,bah,Bah,
47,bak,bin,"{'Noun': ['a container; usually has a lid', 'the quantity contained in a bin', 'an identification number consisting of a two-part code assigned to banks and savings associations; the first part shows the location and the second identifies the bank itself'], 'Verb': ['store in bins']}"
48,bal,ball,"{'Noun': ['round object that is hit or thrown or kicked in games', 'a solid projectile that is shot by a musket', 'an object with a spherical shape', 'the people assembled at a lavish formal dance', 'one of the two male reproductive glands that produce spermatozoa and secrete androgens', 'a spherical object used as a plaything', 'United States comedienne best known as the star of a popular television program (1911-1989', 'a compact mass', 'a lavish dance requiring formal attire', 'a more or less rounded anatomical body or mass', 'a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs', 'a pitch that is not in the strike zone'], 'Verb': ['form into a ball by winding or rolling']}"
49,bam,bam,"{'Noun': ['an ancient city in southeastern Iran; destroyed by an earthquake in 2003', 'a sudden very loud noise']}"
50,ban,ban,"{'Noun': ['a decree that prohibits something', '100 bani equal 1 leu in Moldova', '100 bani equal 1 leu in Romania', 'an official prohibition or edict against something', ""a bachelor's degree in nursing""], 'Verb': ['forbid the public distribution of ( a movie or a newspaper', 'prohibit especially by legal means or social pressure', 'ban from a place of residence, as for punishment', 'expel from a community or group']}"
51,bar,bar,"{'Noun': ['a room or establishment where alcoholic drinks are served over a counter', 'a counter where you can obtain food or drink', 'a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon', 'musical notation for a repeating pattern of musical beats', 'an obstruction (usually metal', 'the act of preventing', '(meteorology', 'a submerged (or partly submerged', 'the body of individuals qualified to practice law in a particular jurisdiction', 'a narrow marking of a different color or texture from the background', 'a block of solid substance (such as soap or wax', 'a portable .30 caliber automatic rifle operated by gas pressure and fed by cartridges from a magazine; used by United States troops in World War I and in World War II and in the Korean War', 'a horizontal rod that serves as a support for gymnasts as they perform exercises', 'a heating element in an electric fire'], 'Verb': ['prevent from entering; keep out', 'render unsuitable for passage', 'expel, as if by official decree', 'secure with, or as if with, bars']}"
52,bas,bass,"{'Noun': ['the lowest part of the musical range', 'the lowest part in polyphonic music', 'an adult male singer with the lowest voice', 'the lean flesh of a saltwater fish of the family Serranidae', 'any of various North American freshwater fish with lean flesh (especially of the genus Micropterus', 'the lowest adult male singing voice', 'the member with the lowest range of a family of musical instruments', 'nontechnical name for any of numerous edible marine and freshwater spiny-finned fishes'], 'Adjective': ['having or denoting a low vocal or instrumental range']}"
53,bat,bat,"{'Noun': ['nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate', '(baseball', 'a small racket with a long handle used for playing squash', 'the club used in playing cricket', 'a club used for hitting a ball in various games'], 'Verb': ['strike with, or as if with a baseball bat', 'wink briefly', 'have a turn at bat', 'use a bat', 'beat thoroughly and conclusively in a competition or fight']}"
54,bed,bed,"{'Noun': ['a piece of furniture that provides a place to sleep', 'a plot of ground in which plants are growing', 'a depression forming the ground under a body of water', '(geology', 'especially sedimentary rock', 'a stratum of ore or coal thick enough to be mined with profit', 'single thickness of usually some homogeneous substance', 'the flat surface of a printing press on which the type form is laid in the last stage of producing a newspaper or magazine or book etc.', 'a foundation of earth or rock supporting a road or railroad track'], 'Verb': ['furnish with a bed', 'place (plants', 'put to bed', 'have sexual intercourse with', 'prepare for sleep']}"
55,bef,bef,
56,bek,beak,"{'Noun': ['beaklike mouth of animals other than birds (e.g., turtles', 'horny projecting mouth of a bird', 'a beaklike, tapering tip on certain plant structures', 'informal terms for the nose'], 'Verb': ['hit lightly with a picking motion']}"
57,bel,call,"{'Noun': ['a telephone connection', 'a special disposition (as if from a divine source', 'a loud utterance; often in protest or opposition', 'the characteristic sound produced by a bird', 'a brief social visit', 'a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement', 'a demand for a show of hands in a card game', 'a request', 'an instruction that interrupts the program being executed', 'a visit in an official or professional capacity', '(sports', 'the option to buy a given stock (or stock index or commodity future'], 'Verb': ['assign a specified (usually proper', 'ascribe a quality to or give a name of a common noun that reflects a quality', 'get or try to get into communication (with someone', 'utter a sudden loud cry', 'order, request, or command to come', 'pay a brief visit', 'call a meeting; invite or command to meet', 'read aloud to check for omissions or absentees', 'send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message', 'utter a characteristic note or cry', 'stop or postpone because of adverse conditions, such as bad weather', 'greet, as with a prescribed form, title, or name', 'make a stop in a harbour', 'demand payment of (a loan', 'make a demand, as for a card or a suit or a show of hands', 'give the calls (to the dancers', 'indicate a decision in regard to', 'make a prediction about; tell in advance', 'require the presentation of for redemption before maturation', 'challenge (somebody', 'declare in the capacity of an umpire or referee', 'lure by imitating the characteristic call of an animal', 'order or request or give a command for', 'order, summon, or request for a specific duty or activity, work, role', 'utter in a loud voice or announce', 'challenge the sincerity or truthfulness of', 'consider or regard as being', 'rouse somebody from sleep with a call']}"
58,ben,am,"{'Noun': ['a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms', ""a master's degree in arts and sciences"", 'modulation of the amplitude of the (radio'], 'Verb': ['have the quality of being; (copula, used with an adjective or a predicate noun', 'be identical to; be someone or something', 'occupy a certain position or area; be somewhere', 'have an existence, be extant', 'happen, occur, take place', 'be identical or equivalent to', 'form or compose', 'work in a specific place, with a specific subject, or in a specific function', 'represent, as of a character on stage', 'spend or use time', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'be priced at']}"
59,bes,berry,"{'Noun': ['any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves', 'a small fruit having any of various structures, e.g., simple (grape or blueberry', 'blackberry or raspberry', 'United States rock singer (born in 1931'], 'Verb': ['pick or gather berries']}"
60,bet,bet,"{'Noun': ['the money risked on a gamble', 'the act of gambling'], 'Verb': ['maintain with or as if with a bet', 'stake on the outcome of an issue', 'have faith or confidence in']}"
61,beu,sick of,
62,bh,bra,{'Noun': ['an undergarment worn by women to support their breasts']}
63,bi,bi,"{'Noun': ['a heavy brittle diamagnetic trivalent metallic element (resembles arsenic and antimony chemically', 'a vehicle carrying many passengers; used for public transport', 'the topology of a network whose components are connected by a busbar', 'an electrical conductor that makes a common connection between several circuits', 'a car that is old and unreliable']}"
64,bib,bib,"{'Noun': ['top part of an apron; covering the chest', 'a napkin tied under the chin of a child while eating'], 'Verb': ['drink moderately but regularly']}"
65,bic,bic,
66,bid,pray,"{'Verb': ['address a deity, a prophet, a saint or an object of worship; say a prayer', 'call upon in supplication; entreat']}"
67,big,big,"{'Adjective': ['above average in size or number or quantity or magnitude or extent', 'or large', 'significant', 'very intense', 'or bad', 'loud and firm', 'conspicuous in position or importance', 'prodigious', 'exhibiting self-importance', 'feeling self-importance', '(of animals', 'marked by intense physical force', 'generous and understanding and tolerant', 'given or giving freely', 'in an advanced stage of pregnancy'], 'Adverb': ['extremely well', 'in a boastful manner', 'on a grand scale', 'in a major way']}"
68,bij,Bee,"{'Noun': ['any of numerous hairy-bodied insects including social and solitary species', 'a social gathering to carry out some communal task or to hold competitions']}"
69,bik,eat,"{'Verb': ['take in solid food', 'eat a meal; take a meal', 'take in food; used of animals only', 'worry or cause anxiety in a persistent way', 'use up (resources or materials', 'cause to deteriorate due to the action of water, air, or an acid']}"
70,bil,buttock,{'Noun': ['either of the two large fleshy masses of muscular tissue that form the human rump']}
71,bio,bio,
72,bis,bis,{'Noun': ['a heavy brittle diamagnetic trivalent metallic element (resembles arsenic and antimony chemically']}
73,bit,bit,"{'Noun': ['a small piece or quantity of something', 'a small fragment of something broken off from the whole', 'an indefinitely short time', 'an instance of some kind', ""piece of metal held in horse's mouth by reins and used to control the horse while riding"", 'a unit of measurement of information (from binary + digit', 'a small amount of solid food; a mouthful', 'a small fragment', 'a short performance that is part of a longer program', 'the part of a key that enters a lock and lifts the tumblers', 'the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press'], 'Verb': ['to grip, cut off, or tear with or as if with the teeth or jaws', 'cause a sharp or stinging pain or discomfort', 'penetrate or cut, as with a knife', 'deliver a sting to']}"
74,bnp,bnp,
75,boa,boa,"{'Noun': ['a long thin fluffy scarf of feathers or fur', 'any of several chiefly tropical constrictors with vestigial hind limbs']}"
76,bob,bob,"{'Noun': ['a former monetary unit in Great Britain', 'a hair style for women and children; a short haircut all around', 'a long racing sled (for 2 or more people', 'a hanging weight, especially a metal ball on a string', 'a small float usually made of cork; attached to a fishing line', 'a short or shortened tail of certain animals', 'a short abrupt inclination (as of the head'], 'Verb': ['move up and down repeatedly', 'ride a bobsled', 'remove or shorten the tail of an animal', 'make a curtsy; usually done only by girls and women; as a sign of respect', 'cut hair in the style of a bob']}"
77,bod,offer,"{'Noun': ['the verbal act of offering', 'something offered (as a proposal or bid', 'a usually brief attempt'], 'Verb': ['make available or accessible, provide or furnish', 'present for acceptance or rejection', 'agree freely', 'put forward for consideration', 'offer verbally', 'make available for sale', 'propose a payment', 'produce or introduce on the stage', 'present as an act of worship', 'mount or put up', 'make available; provide', 'ask (someone', 'threaten to do something']}"
78,boe,boo,"{'Noun': ['a cry or noise made to express displeasure or contempt'], 'Verb': ['show displeasure, as after a performance or speech']}"
79,bof,mumps,{'Noun': ['an acute contagious viral disease characterized by fever and by swelling of the parotid glands']}
80,bok,buck,"{'Noun': ['a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting', 'a piece of paper money worth one dollar', 'United States author whose novels drew on her experiences as a missionary in China (1892-1973', 'a framework for holding wood that is being sawed', 'mature male of various mammals (especially deer or antelope'], 'Verb': ['to strive with determination', 'resist', 'move quickly and violently', 'jump vertically, with legs stiff and back arched']}"
81,bol,sphere,"{'Noun': ['a particular environment or walk of life', 'any spherically shaped artifact', 'the geographical area in which one nation is very influential', 'a particular aspect of life or activity', 'a solid figure bounded by a spherical surface (including the space it encloses', 'a three-dimensional closed surface such that every point on the surface is equidistant from the center', 'the apparent surface of the imaginary sphere on which celestial bodies appear to be projected']}"
82,bom,bomb,"{'Noun': ['an explosive device fused to explode under specific conditions', 'strong sealed vessel for measuring heat of combustion', 'an event that fails badly or is totally ineffectual'], 'Verb': ['throw bombs at or attack with bombs', 'fail to get a passing grade']}"
83,bon,receipt,"{'Noun': ['the act of receiving', 'an acknowledgment (usually tangible'], 'Verb': ['report the receipt of', 'mark or stamp as paid']}"
84,bos,forest,"{'Noun': ['the trees and other plants in a large densely wooded area', 'land that is covered with trees and shrubs'], 'Verb': ['establish a forest on previously unforested land']}"
85,bot,bone,"{'Noun': ['rigid connective tissue that makes up the skeleton of vertebrates', 'the porous calcified substance from which bones are made', 'a shade of white the color of bleached bones'], 'Verb': ['study intensively, as before an exam', 'remove the bones from'], 'Adjective': ['consisting of or made up of bone']}"
86,box,box,"{'Noun': ['a (usually rectangular', 'private area in a theater or grandstand where a small group can watch the performance', 'the quantity contained in a box', 'a predicament from which a skillful or graceful escape is impossible', 'a rectangular drawing', 'evergreen shrubs or small trees', 'any one of several designated areas on a ball field where the batter or catcher or coaches are positioned', ""the driver's seat on a coach"", 'separate partitioned area in a public place for a few people', 'a blow with the hand (usually on the ear'], 'Verb': ['put into a box', 'hit with the fist', 'engage in a boxing match']}"
87,boy,boy,"{'Noun': ['a youthful male person', 'a friendly informal reference to a grown man', 'a male human offspring']}"
88,btw,VAT,"{'Noun': [""a tax levied on the difference between a commodity's price before taxes and its cost of production"", 'a large open vessel for holding or storing liquids']}"
89,bug,bug,"{'Noun': ['general term for any insect or similar creeping or crawling invertebrate', 'a fault or defect in a computer program, system, or machine', 'a small hidden microphone; for listening secretly', 'insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis', 'a minute life form (especially a disease-causing bacterium'], 'Verb': ['annoy persistently', 'tap a telephone or telegraph wire to get information']}"
90,bui,shower,"{'Noun': ['a plumbing fixture that sprays water over you', 'washing yourself by standing upright under water sprayed from a nozzle', 'a brief period of precipitation', 'a sudden downpour (as of tears or sparks etc', 'someone who organizes an exhibit for others to see', 'a party of friends assembled to present gifts (usually of a specified kind'], 'Verb': ['expend profusely; also used with abstract nouns', 'spray or sprinkle with', ""take a shower; wash one's body in the shower"", 'rain abundantly', 'provide abundantly with']}"
91,buk,stoop,"{'Noun': ['an inclination of the top half of the body forward and downward', 'basin for holy water', 'small porch or set of steps at the front entrance of a house'], 'Verb': [""bend one's back forward from the waist on down"", 'debase oneself morally, act in an undignified, unworthy, or dishonorable way', 'descend swiftly, as if on prey', 'sag, bend, bend over or down', 'carry oneself, often habitually, with head, shoulders, and upper back bent forward']}"
92,bul,bull,"{'Noun': ['uncastrated adult male of domestic cattle', 'a large and strong and heavyset man', 'obscene words for unacceptable behavior', 'a serious and ludicrous blunder', 'uncomplimentary terms for a policeman', 'an investor with an optimistic market outlook; an investor who expects prices to rise and so buys now for resale later', '(astrology', 'the second sign of the zodiac; the sun is in this sign from about April 20 to May 20', 'the center of a target', 'a formal proclamation issued by the pope (usually written in antiquated characters and sealed with a leaden bulla', ""mature male of various mammals of which the female is called `cow'; e.g. whales or elephants or especially cattle""], 'Verb': ['push or force', 'try to raise the price of stocks through speculative buying', 'speak insincerely or without regard for facts or truths', 'advance in price']}"
93,bun,bun,{'Noun': ['small rounded bread either plain or sweet']}
94,bus,bus,"{'Noun': ['a vehicle carrying many passengers; used for public transport', 'the topology of a network whose components are connected by a busbar', 'an electrical conductor that makes a common connection between several circuits', 'a car that is old and unreliable'], 'Verb': ['send or move around by bus', 'ride in a bus', 'remove used dishes from the table in restaurants']}"
95,bv,eg,
96,bye,bye,"{'Noun': ['an automatic advance to the next round in a tournament without playing an opponent', 'a farewell remark']}"
97,bén,ben,{'Noun': ['a mountain or tall hill']}
98,cai,cai,
99,cao,CLA,
100,cap,cap,"{'Noun': ['a tight-fitting headdress', 'a top (as for a bottle', 'a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive', 'something serving as a cover or protection', 'a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom', 'a protective covering that is part of a plant', 'an upper limit on what is allowed', '(dentistry', 'the upper part of a column that supports the entablature'], 'Verb': ['lie at the top of', 'restrict the number or amount of']}"
101,cc,cc,"{'Noun': ['a metric unit of volume equal to one thousandth of a liter'], 'Adjective': ['being ten more than one hundred ninety']}"
102,cel,cell,"{'Noun': ['any small compartment', '(biology', 'as in monads', 'a device that delivers an electric current as the result of a chemical reaction', 'a small unit serving as part of or as the nucleus of a larger political movement', 'a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver', 'small room in which a monk or nun lives', 'a room where a prisoner is kept']}"
103,chi,chi,"{'Noun': ['the circulating life energy that in Chinese philosophy is thought to be inherent in all things; in traditional Chinese medicine the balance of negative and positive forms in the body is believed to be essential for good health', 'the 22nd letter of the Greek alphabet']}"
104,cis,cis,"{'Noun': ['a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second', 'an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991']}"
105,cl,cl,"{'Noun': ['a common nonmetallic element belonging to the halogens; best known as a heavy yellow irritating toxic gas; used to purify water and as a bleaching agent and disinfectant; occurs naturally only as a salt (as in sea water', 'a metric unit of volume equal to one hundredth of a liter'], 'Adjective': ['being ten more than one hundred forty']}"
106,cm,cm,"{'Noun': ['a metric unit of length equal to one hundredth of a meter', 'a radioactive transuranic metallic element; produced by bombarding plutonium with helium nuclei']}"
107,col,col,{'Noun': ['a pass between mountain peaks']}
108,con,con,"{'Noun': ['an argument opposed to a proposal', 'a person serving a sentence in a jail or prison', 'a swindle in which you cheat at gambling or persuade a person to buy worthless property'], 'Verb': ['deprive of by deceit', 'commit to memory; learn by heart'], 'Adverb': ['in opposition to a proposition, opinion, etc.']}"
109,cox,cox,"{'Noun': ['either of two related enzymes that control the production of prostaglandins and are blocked by aspirin', ""the helmsman of a ship's boat or a racing crew""], 'Verb': ['act as the coxswain, in a boat race']}"
110,cru,cru,
111,cue,cue,"{'Noun': [""an actor's line that immediately precedes and serves as a reminder for some action or speech"", 'evidence that helps to solve a problem', 'a stimulus that provides information about what to do', 'sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards'], 'Verb': ['assist (somebody acting or reciting']}"
112,cum,cum,{'Noun': ['the thick white fluid containing spermatozoa that is ejaculated by the male genital tract']}
113,cup,cup,"{'Noun': ['a small open container usually used for drinking; usually has a handle', 'the quantity a cup will hold', 'any cup-shaped concavity', 'a United States liquid unit equal to 8 fluid ounces', 'cup-shaped plant organ', 'a punch served in a pitcher instead of a punch bowl', 'the hole (or metal container in the hole', 'a large metal vessel with two handles that is awarded as a trophy to the winner of a competition'], 'Verb': ['form into the shape of a cup', 'put into a cup', ""treat by applying evacuated cups to the patient's skin""]}"
114,cv,CV,"{'Noun': ['a summary of your academic and work history'], 'Adjective': ['being five more than one hundred']}"
115,da,da,"{'Noun': ['an official prosecutor for a judicial district', 'a Spanish gentleman or nobleman', 'teacher at a university or college (especially at Cambridge or Oxford', 'the head of an organized crime family', 'Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu', 'a European river in southwestern Russia; flows into the Sea of Azov', 'a Spanish courtesy title or form of address for men that is prefixed to the forename']}"
116,dab,dab,"{'Noun': ['a light touch or stroke', 'a small quantity of something moist or liquid'], 'Verb': ['apply (usually a liquid', 'hit lightly']}"
117,dag,day,"{'Noun': ['time for Earth to make a complete rotation on its axis', 'some point or period in time', 'a day assigned to a particular purpose or observance', 'the time after sunrise and before sunset while it is light outside', 'the recurring hours when you are not sleeping (especially those when you are working', 'an era of existence or influence', 'the period of time taken by a particular planet (e.g. Mars', 'the time for one complete rotation of the earth relative to a particular star, about 4 minutes shorter than a mean solar day', 'a period of opportunity', 'United States writer best known for his autobiographical works (1874-1935']}"
118,dak,roof,"{'Noun': ['a protective covering that covers or forms the top of a building', 'protective covering on top of a motor vehicle', 'the inner top surface of a covered area or hollow space', 'an upper limit on what is allowed'], 'Verb': ['provide a building with a roof; cover a building with a roof']}"
119,dal,valley,{'Noun': ['a long depression in the surface of the land that usually contains a river']}
120,dam,dam,"{'Noun': ['a barrier constructed to contain the flow of water or to keep out the sea', 'a metric unit of length equal to ten meters', 'female parent of an animal especially domestic livestock'], 'Verb': ['obstruct with, or as if with, a dam']}"
121,dan,than,
122,dar,dar,
