index,word,translation,tag
000382,kent,knows,WW
000383,schiet,shoot,WW
000384,manier,way,N
000385,moment,moment,N
000386,mooie,beautiful,ADJ
000387,pijn,pain,N
000388,verteld,told,WW
000389,kleine,little,ADJ
000390,breng,bring,WW
000391,prima,fine,ADJ
000392,kamer,room,N
000393,boven,above,VZ
000394,groot,big,ADJ
000395,hulp,help,N
000396,praat,talking,WW
000397,stad,city,N
000398,sta,sta,WW
000399,aan_de_hand,going on,VZ
000400,zoveel,that much,TW
000401,wees,orphan,WW
000402,klopt,right,WW
000403,deur,door,N
000404,hoeft,need,WW
000405,in_orde,alright,VZ
000406,vergeten,to forget,WW
000407,later,later on,ADJ
000408,vier,four,TW
000409,vrij,free,ADJ
000410,proberen,to attempt,WW
000411,problemen,issues,N
000412,minuten,minutes,N
000413,hË,Hey,N
000414,juist,right,BW
000415,week,week,N
000416,spelen,play,WW
000417,echte,real,ADJ
000418,ervan,it,BW
000419,soort,kind,N
000420,gebruiken,use,WW
000421,beginnen,to start,WW
000422,lopen,walk,WW
000423,betekent,means,WW
000424,bed,bed,N
000425,mis,wrong,ADJ
000426,zorg,care,WW
000427,stel,set,WW
000428,schat,treasure,N
000429,water,water,N
000430,meteen,right away,BW
000431,snap,snap,WW
000432,zoiets,something,VNW
000433,vrouwen,women,N
000434,moeilijk,difficult,ADJ
000435,vol,full,ADJ
000436,bellen,dial,WW
000437,handen,hands,N
000438,kop,head,N
000439,gekomen,come,WW
000440,zult,shall,WW
000441,voorbij,past,ADJ
000442,plaats,place,N
000443,druk,pressure,ADJ
000444,mogen,be allowed to,WW
000445,leren,to learn,WW
000446,vergeet,forgets,WW
000447,sinds,since,VZ
000448,hoort,hears,WW
000449,gebeuren,to happen,WW
000450,zodat,so that,VG
000451,zaak,matter,N
000452,zoek,Search,WW
000453,hetzelfde,the same,ADJ
000454,begin,get started,N
000455,land,country,N
000456,bezig,busy,ADJ
000457,eerder,earlier,ADJ
000458,slapen,to sleep,WW
000459,liggen,lie,WW
000460,ander,other,ADJ
000461,tien,ten,TW
000462,school,school,N
000463,gelukkig,happy,ADJ
000464,hand,hand,N
000465,nacht,night,N
000466,wakker,awake,ADJ
000467,klein,small,ADJ
000468,gaf,gave,WW
000469,zes,six,TW
000470,stoppen,stop,WW
000471,vooruit,forward,BW
000472,wat_voor,what kind,VNW
000473,dokter,doctor,N
000474,fijn,nice,ADJ
000475,doden,kill,WW
000476,hoorde,heard,WW
000477,drinken,drink,WW
000478,verhaal,story,N
000479,voordat,prior to,VG
000480,broer,brother,N
000481,straks,later,BW
000482,vallen,fall,WW
000483,neer,down,BW
000484,kennen,know,WW
000485,los,loose,ADJ
000486,aardig,nice,ADJ
000487,rest,rest,N
000488,vaak,often,ADJ
000489,oud,old,ADJ
000490,rond,round,VZ
000491,overal,everywhere,VNW
000492,hart,heart,N
000493,gezicht,face,N
000494,liever,rather,BW
000495,beneden,down,VZ
000496,alstublieft,Please,WW
000497,mogelijk,possible,ADJ
000498,vermoorden,murder,WW
000499,nieuws,news,N
000500,dicht,close,ADJ
000501,langs,along,VZ
000502,duidelijk,clearly,ADJ
000503,buurt,neighborhood,N
000504,terwijl,while,VG
000505,zin,sentence,N
000506,schuld,debt,N
000507,nummer,number,N
000508,dollar,dollar,N
000509,mr,mr,N
000510,zaken,Affairs,N
000511,plek,place,N
000512,waarheid,truth,N
000513,kreeg,received,WW
000514,eraan,it,BW
000515,stuk,piece,N
000516,belangrijk,important,ADJ
000517,voelt,feels,WW
000518,liet,showed,WW
000519,dochter,daughter,N
000520,anderen,others,ADJ
000521,eerlijk,fair,ADJ
000522,stond,was standing,WW
000523,maanden,months,N
000524,vandaan,from,VZ
000525,begrepen,understood,WW
000526,veilig,safe,ADJ
000527,ermee,it,BW
000528,jaren,years,N
000529,klinkt,sounds,WW
000530,avond,evening,N
000531,'s,s,WW
000532,liefde,love,N
000533,reden,reason,N
000534,mezelf,myself,VNW
000535,erop,on,BW
000536,redden,to rescue,WW
000537,vent,guy,N
000538,inderdaad,indeed,BW
000539,neemt,take,WW
000540,mevrouw,Mrs.,N
000541,al.,already.,BW
000542,klootzak,asshole,N
000543,fout,wrong,ADJ
000544,waarschijnlijk,probably,ADJ
000545,hard,hard,ADJ
000546,bloed,blood,N
000547,geluk,luck,N
000548,mond,mouth,N
000549,per,per,VZ
000550,zetten,put,WW
000551,valt,falls,WW
000552,stil,quiet,ADJ
000553,gegeven,given,WW
000554,welkom,welcome,ADJ
000555,recht,straight,N
000556,sterven,to die,WW
000557,vriendin,female friend,N
000558,papa,Daddy,N
000559,nergens,nowhere,VNW
000560,dezelfde,the same,ADJ
000561,betalen,Pay,WW
000562,kwaad,pissed off,ADJ
000563,geworden,become,WW
000564,oh,Oh,TSW
000565,voorzichtig,cautious,ADJ
000566,kwijt,lost,ADJ
000567,daarna,afterwards,BW
000568,prachtig,magnificent,ADJ
000569,niet_alleen,not only,BW
000570,vanaf,from,VZ
000571,hield,held,WW
000572,baas,boss,N
000573,ouders,parents,N
000574,mama,mom,N
000575,erin,it,BW
000576,heren,Gentlemen,N
000577,elk,each,VNW
000578,weken,weeks,N
000579,noemen,to mention,WW
000580,hoezo,how so,TSW
000581,loopt,runs,WW
000582,telefoon,phone,N
000583,geval,case,N
000584,haat,hate,WW
000585,pakken,to grab,WW
000586,deel,part,N
000587,vertrouwen,trust,N
000588,meer_dan,more than,VNW
000589,eÈn,a,TW
000590,rijden,to drive,WW
000591,baan,job,N
000592,antwoord,answer,N
000593,allebei,both,VNW
000594,zeer,very,BW
000595,ver,far,ADJ
000596,erbij,there,BW
000597,ontmoet,meets,WW
000598,tijdens,while,VZ
000599,agent,agent,N
000600,mens,man,N
000601,gisteren,yesterday,BW
000602,lichaam,body,N
000603,maakte,made,WW
000604,veranderen,change,WW
000605,nogal,quite,BW
000606,daarmee,therewith,BW
000607,gebruikt,used,WW
000608,hoi,Hi,SPEC
000609,zomaar,No reason,BW
000610,verwacht,expected,WW
000611,leg,put,WW
000612,begint,begins,WW
000613,plan,plan,N
000614,tweede,second,TW
000615,gebeld,called,WW
000616,ervoor,before,BW
000617,verloren,lost,WW
000618,woord,word,N
000619,vroeger,back in the days,ADJ
000620,gevoel,feeling,N
000621,trek,pull,WW
000622,minder,less,VNW
000623,gegaan,gone,WW
000624,oorlog,war,N
000625,dan_ook,then,BW
000626,plezier,pleasure,N
000627,bedoelt,mean,WW
000628,vreemd,strange,ADJ
000629,kopen,to buy,WW
000630,meen,mean,WW
000631,stap,step,N
000632,naartoe,more,BW
000633,nieuw,new,ADJ
000634,hond,dog,N
000635,zichzelf,himself,VNW
000636,ontmoeten,Meet,WW
000637,grappig,funny,ADJ
000638,houd,love,WW
000639,loop,course,WW
000640,eindelijk,Finally,ADJ
000641,ziek,ill,ADJ
000642,normaal,normal,ADJ
000643,slechte,poor,ADJ
000644,verkeerd,wrong,ADJ
000645,film,movie,N
000646,in_deze,in this,VZ
000647,getrouwd,married,WW
000648,dames,Ladies,N
000649,voelen,to feel,WW
000650,gevraagd,asked,WW
000651,nam,took,WW
000652,leeft,lives,WW
000653,koffie,coffee,N
000654,gesproken,speaking,WW
000655,waard,worth,ADJ
000656,kerel,dude,N
000657,vertelde,told,WW
000658,schieten,shoot,WW
000659,stuur,handlebar,WW
000660,gekregen,got,WW
000661,brengt,brings,WW
000662,ziens,Goodbye,BW
000663,schatje,baby,N
000664,wapen,weapon,N
000665,gang,corridor,N
000666,begrijpen,understand,WW
000667,de_tijd,the time,LID
000668,val,fall,N
000669,meisjes,girls,N
000670,einde,end,N
000671,weinig,few,VNW
000672,hierheen,here,BW
000673,pardon,excuse me,N
000674,met_rust,met_rust,VZ
000675,trouwen,Marry,WW
000676,boek,book,N
000677,goeie,good,ADJ
000678,beloof,promise,WW
000679,slaap,sleep,N
000680,eet,eat,WW
000681,moord,murder,N
000682,kantoor,office,N
000683,idioot,idiot,ADJ
000684,woorden,words,N
000685,fantastisch,fantastic,ADJ
000686,baby,baby,N
000687,slim,smart,ADJ
000688,gebruik,use,WW
000689,stellen,set,WW
000690,trots,pride,ADJ
000691,lief,sweet,ADJ
000692,lieverd,darling,N
000693,let,beware,WW
000694,langer,longer,ADJ
000695,jawel,Yes,N
000696,vraagt,asks,WW
000697,jezus,Jesus,SPEC
000698,hoef,hoof,WW
000699,veranderd,changed,WW
000700,enkele,a few,VNW
000701,spullen,stuff,N
000702,tenminste,at least,BW
000703,mam,mam,N
000704,konden,could,WW
000705,noem,call,WW
000706,vechten,fight,WW
000707,pa,dad,N
000708,mocht,if,WW
000709,vreselijk,horrible,ADJ
000710,grond,ground,N
000711,makkelijk,easy,ADJ
000712,onzin,nonsense,N
000713,begrijpt,understands,WW
000714,begon,began,WW
000715,hemel,sky,N
000716,behalve,except,VG
000717,acht,eight,TW
000718,foto,photo,N
000719,meid,girl,N
000720,eentje,one,TW
000721,gingen,went,WW
000722,lukt,succeed,WW
000723,wonen,live,WW
000724,half,half,ADJ
000725,zus,sister,N
000726,luisteren,listen,WW
000727,herinner,remember,WW
000728,wilden,wild ones,WW
000729,succes,good luck,N
000730,kwamen,came,WW
000731,stom,stupid,ADJ
000732,of_zo,of_zo,VG
000733,miljoen,million,N
000734,lezen,read,WW
000735,stomme,mute,ADJ
000736,opnieuw,again,BW
000737,woont,lives,WW
000738,omhoog,up,BW
000739,verlaten,leave,WW
000740,ene,one,VNW
000741,probeerde,tried,WW
000742,licht,light,N
000743,erover,about,BW
000744,spreek,speak,WW
000745,werden,were,WW
000746,kleren,clothes,N
000747,men,one,VNW
000748,perfect,perfect,ADJ
000749,boos,angry,ADJ
000750,volgen,to follow,WW
000751,kijkt,looks,WW
000752,helpt,help,WW
000753,genomen,taken,WW
000754,lijken,appear,WW
000755,winnen,to win,WW
000756,20,20,TW
000757,1,1,TW
000758,onderzoek,research,N
000759,afgelopen,past,WW
000760,zeven,seven,TW
000761,gebeurde,happened,WW
000762,absoluut,absolutely,ADJ
000763,naast,next,VZ
000764,vertrekken,leave,WW
000765,2,2,TW
000766,leek,layman,WW
000767,welk,which,VNW
000768,geheim,secret,N
000769,juiste,right,ADJ
000770,droom,dream,N
000771,probeert,try,WW
000772,verliezen,to lose,WW
000773,trouwens,Besides,BW
000774,sterk,strongly,ADJ
000775,sommige,some,VNW
000776,jammer,Unfortunately,ADJ
000777,toekomst,future,N
000778,begonnen,started,WW
000779,ziekenhuis,Hospital,N
000780,informatie,information,N
000781,te_pakken,te_pakken,VZ
000782,sturen,send,WW
000783,gedacht,thought,WW
000784,straat,street,N
000785,beschermen,to protect,WW
000786,schelen,care,WW
000787,ieder,each,VNW
000788,erger,worse,ADJ
000789,gevaarlijk,dangerous,ADJ
000790,verkeerde,false,ADJ
000791,koud,cold,ADJ
000792,ongeluk,accident,N
000793,bestaat,exists,WW
000794,zolang,so long,VG
000795,slaan,to beat,WW
000796,maand,month,N
000797,degene,the one,VNW
000798,lange,long,ADJ
000799,t.,t.,N
000800,gered,saved,WW
000801,afspraak,appointment,N
000802,bewijs,proof,N
000803,nietwaar,not true,N
000804,persoon,person,N
000805,enkel,only,BW
000806,zak,bag,N
000807,wegwezen,get out,WW
000808,verliefd,in love,ADJ
000809,bekend,known,ADJ
000810,voorstellen,introduce,WW
000811,serieus,serious,ADJ
000812,moesten,must,WW
000813,op_zoek,looking,VZ
000814,vorige,previous,ADJ
000815,voelde,felt,WW
000816,muziek,music,N
000817,honger,hunger,N
000818,grootste,main,ADJ
000819,geleerd,learned,WW
000820,dienst,shift,N
000821,ongeveer,approximately,BW
000822,team,team,N
000823,jong,young,ADJ
000824,zwarte,black,ADJ
000825,leuke,nice,ADJ
000826,viel,fell,WW
000827,vooral,mostly,BW
000828,gevaar,Danger,N
000829,moe,tired,ADJ
000830,betaald,paid,WW
000831,lag,was,WW
000832,wapens,weapons,N
000833,missen,to miss,WW
000834,via,through,VZ
000835,gestolen,stolen,WW
000836,lachen,laugh,WW
000837,vuur,fire,N
000838,contact,Contact,N
000839,lucht,sky,N
000840,kracht,power,N
000841,gevangenis,jail,N
000842,vertrouw,trust,WW
000843,gedood,slain,WW
000844,t,t,SPEC
000845,lieve,dear,ADJ
000846,raak,striking,WW
000847,bewijzen,prove,WW
000848,geprobeerd,tried,WW
000849,arme,poor,ADJ
000850,zodra,as soon,VG
000851,10,10,TW
000852,van_plan,planning on,VZ
000853,eind,end,N
000854,schrijven,to write,WW
000855,aarde,soil,N
000856,vanwege,because of,VZ
000857,duurt,takes,WW
000858,prijs,price,N
000859,goedemorgen,good morning,N
000860,reis,trip,N
000861,trekken,to pull,WW
000862,verkopen,to sell,WW
000863,zwaar,heavy,ADJ
000864,dragen,to wear,WW
000865,raken,touch,WW
000866,speelt,plays,WW
000867,geboren,born,ADJ
000868,kapitein,captain,N
000869,gelooft,believes,WW
000870,dansen,to dance,WW
000871,dr.,dr.,N
000872,kapot,Broken,ADJ
000873,gebracht,brought,WW
000874,daarvoor,therefor,BW
000875,geraakt,hit,WW
000876,raar,weird,ADJ
000877,foto's,photos,N
000878,feest,party,N
000879,pap,dad,N
000880,rij,queue,N
000881,kost,costs,WW
000882,leger,army,N
000883,het_beste,best,LID
000884,spel,game,N
000885,new_york,New_York,SPEC
000886,werkte,worked,WW
000887,kende,knew,WW
000888,te_weten,to know,VZ
000889,raad,council,N
000890,slechts,only,BW
000891,rot,rot,WW
000892,rug,back,N
000893,volg,follow,WW
000894,zul,you,WW
000895,vertelt,tells,WW
000896,advocaat,lawyer,N
000897,zoekt,searches,WW
000898,tenzij,unless,VG
000899,schuldig,guilty,ADJ
000900,heer,lord,N
000901,geest,spirit,N
000902,zover,so far,BW
000903,sla,lettuce,WW
000904,liefje,sweetheart,N
000905,tafel,table,N
000906,stem,voice,N
000907,regels,rules,N
000908,gefeliciteerd,congratulations,WW
000909,pistool,pistol,N
000910,vliegen,fly,WW
000911,ter,to,VZ
000912,zweer,ulcer,WW
000913,gemist,missed,WW
000914,gewerkt,worked,WW
000915,excuseer,excuse,WW
000916,arm,arm,N
000917,namen,names,N
000918,nadat,after,VG
000919,hel,hell,N
000920,gestuurd,forwarded,WW
000921,waarvoor,which,BW
000922,grapje,just kidding,N
000923,jonge,young,ADJ
000924,regel,rule,N
000925,mijne,mine,VNW
000926,koning,king,N
000927,rust,peace,N
000928,dom,stupid,ADJ
000929,gisteravond,yesterday evening,BW
000930,oom,uncle,N
000931,dame,Lady,N
000932,zeiden,said,WW
000933,the,the,SPEC
000934,derde,third,TW
000935,seks,sex,N
000936,geweldige,great,ADJ
000937,moordenaar,killer,N
000938,gedachten,thoughts,N
000939,macht,power,N
000940,herinneren,remember,WW
000941,belde,phoned,WW
000942,stierf,died,WW
000943,bank,Bank,N
000944,regelen,arrange for,WW
000945,totdat,until,VG
000946,in_de_gaten,closely monitor,VZ
000947,deden,did,WW
000948,keek,watched,WW
000949,teken,sign,N
000950,iedere,every,VNW
000951,3,3,TW
000952,vanuit,from,VZ
000953,onmogelijk,impossible,ADJ
000954,verdomde,damn,ADJ
000955,tv,TV,N
000956,ruimte,space,N
000957,gooi,throw,WW
000958,leggen,down,WW
000959,rijk,rich,ADJ
000960,ziel,soul,N
000961,liep,ran,WW
000962,haast,rush,BW
000963,spreekt,speaks,WW
000964,doel,target,N
000965,kwalijk,ill,ADJ
000966,zulke,these,VNW
000967,punt,point,N
000968,5,5,TW
000969,president,president,N
000970,uitleggen,to explain,WW
000971,heerlijk,delicious,ADJ
000972,m.,m.,N
000973,hangt,depends,WW
000974,warm,hot,ADJ
000975,situatie,situation,N
000976,moeite,effort,N
000977,beloofd,promised,WW
000978,delen,share,WW
000979,hotel,hotel,N
000980,sneller,faster,ADJ
000981,tuurlijk,of course,BW
000982,mrs,mrs,SPEC
000983,lastig,difficult,ADJ
000984,gelezen,read,WW
000985,dronken,drunk,ADJ
000986,diep,deep,ADJ
000987,onderweg,on the way,BW
000988,jack,jack,SPEC
000989,helaas,unfortunately,BW
000990,sleutel,key,N
000991,controle,check,N
000992,hoeven,hooves,WW
000993,dromen,to dream,N
000994,bleef,Remained,WW
000995,respect,respect,N
000996,weggaan,depart,WW
000997,meter,meter,N
000998,gezin,family,N
000999,eer,honour,N
001000,vliegtuig,plane,N
001001,ls,ls,N
001002,neus,nose,N
001003,ouwe,old,ADJ
001004,lijk,corpse,N
001005,drink,drinking,WW
001006,speel,play,WW
001007,band,band,N
001008,vannacht,tonight,BW
001009,lul,dick,N
001010,groep,group,N
001011,relatie,relation,N
001012,meeste,most,VNW
001013,direct,straight away,ADJ
001014,verleden,past,N
001015,raam,window,N
001016,red,red,WW
001017,sluit,closes,WW
001018,kaart,Map,N
001019,tijdje,while,N
001020,gevallen,cases,WW
001021,huwelijk,wedding,N
001022,ach,oh,TSW
001023,gebroken,broken,WW
001024,rennen,run,WW
001025,wet,law,N
001026,knap,good looking,ADJ
001027,gewonnen,won,WW
001028,gezet,put,WW
001029,benen,legs,N
001030,amerika,America,SPEC
001031,wagen,car,N
001032,verdwenen,disappeared,WW
001033,bereiken,to achieve,WW
001034,daarvan,thereof,BW
001035,boot,boat,N
001036,kalm,calm,ADJ
001037,shit,shit,N
001038,lijn,line,N
001039,hopelijk,hopefully,ADJ
001040,beide,both,VNW
001041,persoonlijk,in person,ADJ
001042,ophouden,stop,WW
001043,een_uur,one hour,LID
001044,draai,twist,WW
001045,keuze,choice,N
001046,gelukt,successful,WW
001047,interessant,interesting,ADJ
001048,slaat,hit,WW
001049,schoenen,shoes,N
001050,drugs,drugs,N
001051,oog,eye,N
001052,john,John,SPEC
001053,bezoek,visit,N
001054,hoog,high,ADJ
001055,zon,Sun,N
001056,leiden,lead,WW
001057,donker,dark,ADJ
001058,gekocht,purchased,WW
001059,meestal,mostly,BW
001060,alweer,again,BW
001061,leeg,empty,ADJ
001062,seconden,seconds,N
001063,dan_wel,dan_wel,BW
001064,plannen,plan,N
001065,nog_geen,none yet,BW
001066,broek,pants,N
001067,vreemde,stranger,ADJ
001068,helft,half,N
001069,schip,ship,N
001070,verdienen,to deserve,WW
001071,geschreven,written,WW
001072,vuile,dirty,ADJ
001073,angst,fear,N
001074,kont,ass,N
001075,laatst,last,BW
001076,eraf,off,BW
001077,betaal,pay,WW
001078,bracht,brought,WW
001079,links,left,ADJ
